 tokenid |   operation   |        price         | quantity | timestamp  
---------+---------------+----------------------+----------+------------
       1 | OfferAccepted | 0.235750000000000000 |        1 | 1624436653
      12 | OfferNew      | 0.353625000000000000 |        1 | 1624454711
      13 | OfferNew      | 0.353625000000000000 |        1 | 1624455769
      14 | OfferNew      | 0.353625000000000000 |        1 | 1624456783
      45 | OfferAccepted | 0.589375000000000000 |        1 | 1624457419
      15 | OfferNew      | 0.353625000000000000 |        1 | 1624457439
      16 | OfferNew      | 0.353625000000000000 |        1 | 1624457689
      17 | OfferNew      | 0.353625000000000000 |        1 | 1624457877
      18 | OfferNew      | 0.353625000000000000 |        1 | 1624458192
      19 | OfferNew      | 0.353625000000000000 |        1 | 1624464993
      20 | OfferNew      | 0.353625000000000000 |        1 | 1624468813
      21 | OfferNew      | 0.353625000000000000 |        1 | 1624469523
      22 | OfferNew      | 0.353625000000000000 |        1 | 1624469957
      23 | OfferNew      | 0.353625000000000000 |        1 | 1624470263
      24 | OfferNew      | 0.353625000000000000 |        1 | 1624471175
      25 | OfferNew      | 0.353625000000000000 |        1 | 1624471437
      26 | OfferNew      | 0.353625000000000000 |        1 | 1624471837
      27 | OfferNew      | 0.353625000000000000 |        1 | 1624472207
      28 | OfferNew      | 0.353625000000000000 |        1 | 1624472449
      29 | OfferNew      | 0.353625000000000000 |        1 | 1624472963
      30 | OfferNew      | 0.353625000000000000 |        1 | 1624474265
      31 | OfferNew      | 0.353625000000000000 |        1 | 1624474545
      32 | OfferNew      | 0.353625000000000000 |        1 | 1624474695
      33 | OfferNew      | 0.353625000000000000 |        1 | 1624480935
      34 | OfferNew      | 0.353625000000000000 |        1 | 1624481175
      35 | OfferNew      | 0.353625000000000000 |        1 | 1624481261
      36 | OfferNew      | 0.353625000000000000 |        1 | 1624481615
      37 | OfferNew      | 0.353625000000000000 |        1 | 1624481669
      38 | OfferNew      | 0.353625000000000000 |        1 | 1624481739
      39 | OfferNew      | 0.353625000000000000 |        1 | 1624481813
      41 | OfferNew      | 0.353625000000000000 |        1 | 1624481893
      42 | OfferNew      | 0.353625000000000000 |        1 | 1624481953
      46 | OfferNew      | 1.178750000000000000 |        1 | 1624482079
      47 | OfferNew      | 1.178750000000000000 |        1 | 1624482157
      48 | OfferNew      | 1.178750000000000000 |        1 | 1624482243
      49 | OfferNew      | 1.178750000000000000 |        1 | 1624482455
      50 | OfferNew      | 1.178750000000000000 |        1 | 1624482535
      41 | OfferAccepted | 0.353625000000000000 |        1 | 1624490081
      39 | OfferAccepted | 0.353625000000000000 |        1 | 1624490265
      19 | OfferAccepted | 0.353625000000000000 |        1 | 1624490589
      47 | OfferAccepted | 1.178750000000000000 |        1 | 1624536923
      45 | ResaleOffer   | 1.025000000000000000 |        1 | 1624628046
      12 | OfferAccepted | 0.353625000000000000 |        1 | 1624629402
      17 | OfferAccepted | 0.353625000000000000 |        1 | 1624675677
      35 | OfferAccepted | 0.353625000000000000 |        1 | 1624693394
       1 | OfferAccepted | 0.235750000000000000 |        1 | 1624694288
      10 | OfferAccepted | 0.235750000000000000 |        1 | 1624695196
      48 | ResaleOffer   | 5.125000000000000000 |        1 | 1624695412
      25 | ResaleOffer   | 2.050000000000000000 |        1 | 1624695904
      50 | OfferAccepted | 1.178750000000000000 |        1 | 1624696206
      50 | ResaleOffer   | 1.537500000000000000 |        1 | 1624696558
      22 | ResaleOffer   | 0.768750000000000000 |        1 | 1624856414
      20 | ResaleOffer   | 0.512500000000000000 |        1 | 1624856964
      35 | ResaleOffer   | 0.512500000000000000 |        1 | 1624858958
       1 | OfferAccepted | 0.235750000000000000 |        1 | 1624694288
      10 | OfferAccepted | 0.235750000000000000 |        1 | 1624695196
      48 | ResaleOffer   | 5.125000000000000000 |        1 | 1624695412
      25 | ResaleOffer   | 2.050000000000000000 |        1 | 1624695904
      50 | OfferAccepted | 1.178750000000000000 |        1 | 1624696206
      50 | ResaleOffer   | 1.537500000000000000 |        1 | 1624696558
      22 | ResaleOffer   | 0.768750000000000000 |        1 | 1624856414
      20 | ResaleOffer   | 0.512500000000000000 |        1 | 1624856964
      35 | ResaleOffer   | 0.512500000000000000 |        1 | 1624858958
       1 | ResaleOffer   | 0.512500000000000000 |        1 | 1624868605
      26 | OfferAccepted | 0.353625000000000000 |        1 | 1624891639
      18 | OfferAccepted | 0.353625000000000000 |        1 | 1625237049
      18 | ResaleOffer   | 0.768750000000000000 |        1 | 1625264881
      17 | ResaleOffer   | 0.768750000000000000 |        1 | 1625265051
      28 | OfferAccepted | 0.353625000000000000 |        1 | 1625428470
      10 | OfferAccepted | 0.235750000000000000 |        1 | 1625428564
      10 | OfferAccepted | 0.235750000000000000 |        1 | 1625430100
(62 rows)
