 id  |                     image                      |                          name                           | pool_id 
-----+------------------------------------------------+---------------------------------------------------------+---------
   1 | QmTZfjZMMuLvEkspDRwMcGTZwzDGvvRaSzJ4FPcaPva1N1 | Paris Avant-Première Ticket                             |       0
   9 | QmfYG5QJP1BEb4qZb7b8DAAEqCew38TRhx165z5rJeaRze | Online Avant Première Rare Ticket                       |       0
  10 | QmQ9gSCDHYweDDizZxNxNFST6pYZAsEKBXF6tx6NfqGXaz | Early Ticket - Souvenir - Limited Edition               |       0
  11 | QmVrieNCNZJYFoTjQ6159J2qMZLWNetnmeQQoGfwwud9RB | Early Ticket - Souvenir - Limited Edition               |       0
  12 | QmV11am1EbL7Cs5L4iA5LV1BW1v1XRPthQFmTwu8SUk7jL | Rare Card #1 : The Narrator                             |       0
  13 | QmeQWNQ5PXXNkAYZBRP7gjrZgVCCHezsXT9i8SzwXCWg3V | Rare Card #2 : The Beginning                            |       0
  14 | QmfLjmZp4VLXehtdYhRBFJA5Y1dRoiuDvaes2g4PArKANJ | Rare Card #3 : Measurements                             |       0
  15 | QmeRvBwu8Mu4DJciHA4qupe3W9X4DshSonTu1q6k6iHsoM | Rare Card #4 : The Fight                                |       0
  16 | QmcUUGwkAUxnJcKyr237hL4buS5E5BxY8efM8LSpng48Ca | Rare Card #5 : Subterranean                             |       0
  17 | QmYxJKWVk4kPRKMHM2pj2o2Giwd1GCVVZmmpqfaRg7nagy | Rare Card #6 : Hanging out                              |       0
  18 | QmetWtzcuBKU4wm3YaerpQHxwBsM6ffyCA7seCBnbeetaw | Rare Card #7 : Diving into the unknown                  |       0
  19 | QmTgdftz54pjRk7eJYcTg7KAiHnGqcnGE8Ay9BiBUcDbmT | Rare Card #8 : First Brush Strokes                      |       0
  20 | Qmd9abSiAgRvVaJub79CeWJRUdNBZrQUzYApMtpz9S3c6F | Rare Card #9 : Slowly taking shape                      |       0
  21 | Qmd1a2uibGm8MWPw4oHma89WmfbvSH5zUvdfrve8mNpBt4 | Rare Card #10 : The Day fades away                      |       0
  22 | QmY5W3L5vFhGP8uCAnJ6WVthRTaFiZf1sa5umUCpHhnCrp | Rare Card #11 : Moving Walls                            |       0
  23 | QmXdFaPAPyGa4yYQUpXascyLL28oqzR1dNwjjzEAD4UkU2 | Rare Card #12 : Sun hits the foundry                    |       0
  24 | QmbN8pzbqUrtRzWRfkNWLMmrt2nZG4rdXk9kUFpLMKgQT8 | Rare Card #13 : Anonymous Shadow                        |       0
  25 | QmXZkZhBnMtTKwkbeK4c7qGtX3x9gawjZA2pb2K9LzqAQM | Rare Card #14 : Hidden Gem                              |       0
  26 | QmSQkng9982VhqdujkNvUEkgUxZ2j3JP9p3foLokyDrNrP | Rare Card #15 : The Sculptor                            |       0
  27 | Qmes465H9X2u4dZ3wRmx2PwFVDHEen4EiyBt1rWB93q41Q | Rare Card #16 : The Crew                                |       0
  28 | QmQqnLDTrg5qNhgx7LL2C96pzRL6uuzNLMCVJMBFATnpEr | Rare Card #17 : The Hit                                 |       0
  29 | QmUkyP5AABe7W81mg2TGDZTPfF1qfUVJdKkcj3wa5y767w | Rare Card #18 : Pool & Paint                            |       0
  30 | Qmbz71n9zga6SGheSKUtVk7Lk8HPYLd38BBgZDNc4khSWi | Rare Card #19 : The Final Round                         |       0
  31 | QmaV6tkNHBrXWBSDdve9i1srajYDx7xu2ukaoRCteKHB3Y | Rare Card #20 : It's in the Game                        |       0
  32 | QmRxWskJZhdqFw22EdB8Qa9aabV1wRPKQrg3rjT37JsH4T | Rare Card #21 : Take a Breath                           |       0
  33 | QmVV2wFZWmXUZFKWMzvbaKNVv7dyCK3YTHueBDuKHpAnm6 | Rare Card #22 : Make NFTs                               |       0
  34 | QmWY3Shr737LBVyTT83mmcLh3Nx3yUYVrq2Y1j57GbUfr8 | Rare Card #23 : The Torture Room                        |       0
  35 | QmYEY6QEgqzGnuGmzcVdimY7jNkxcxSmXx38xRvD6QN2BR | Rare Card #24 : Walk to the path                        |       0
  36 | QmQDhDKwj2Y2rtnbsm397iwN4A1LfohaYEnA9chFKuAorb | Rare Card #25 : Get Out                                 |       0
  37 | Qmcvy8eNb6H8q331AejWW5YRntp3gAXcbnox8b9g3ogayQ | Rare Card #26 : Fresh Paint                             |       0
  38 | QmPzBnmb9BRPCXjZUofjXCcXdb3Zq5N3VkuBHrzEDs3GVH | Rare Card #27 : Tricky Position                         |       0
  39 | QmPvY9S5A9VKxdyDesefsuowWRQMn1Wmn6PfYeZCsAJJve | Rare Card #28 : Go to work                              |       0
  41 | QmNtTxdAAmVfT6Z94YbbVzCLLb6hG4yMnNivP17uSjsrX6 | Rare Card #29 : These men lived here                    |       0
  42 | QmVLjaTNSVhDzBJxzsYpXpujaxMjV3GZp4VygJ4gEH1eyB | Rare Card #30 : The rage to succeed                     |       0
  43 | QmcZRAH9RWa566hH4PVWx3H7BLi8MpfEh8QcyF4hYAHoLo | Film Production File - English Version                  |       0
  44 | QmZZYxoGjSNcPqPqDavvc21YBaf4WXMPT3vRbVWoTV8MSZ | Film Production File - French Version                   |       0
  45 | QmNVLYgUXfx3VMo8GNgbK2EqAvFuv4aSdgKBDEuipW4dsx | Limited Edition Movie Poster                            |       0
  46 | QmWRetJSmLzT3Fp44Na4FARHynuWwupZeAkYGE9xhuYeVX | Gold Rare Card - Chapter #0 : Introduction              |       0
  47 | QmR6pX3oJciJGrrVi5KNirJYC51zeQSs2dVMnpB1oZatDB | Gold Rare Card - Chapter #1 : The Genesis               |       0
  48 | QmTTn8EjeRVwqVmxtxCieLNjvaCXDsv2fw92QjcdBniYZJ | Gold Rare Card - Chapter #2 : The Sketches              |       0
  49 | QmbSo2SPiiMPZ2wRthozzTZuKJo3cn3XvPgVPTTKgaUC4o | Gold Rare Card - Chapter #3 : Summer is here            |       0
  50 | QmTVrehVAuuYNF6GCU4WUyu63gcNsjdLb1mPckR3Dfr5fc | Gold Rare Card - Chapter #4 : The Apotheosis            |       0
  67 | QmemJ9kcpdEvBxcLx1Ebr5AF4W6fkUagesV54sznKe7ED8 | Official Movie Minute : La Fonderie Part 1/2            |       0
  68 | QmaZB3f3HD6uwjVq64h89LWkKtWY5t8kHmpi3zZzFrEL2y | Official Movie Minute : La Fonderie Part 2/2            |       0
  69 | QmYyZe4w7EbeWndLCD2zNK9cnj6eSGfD4RfXnqbsoDPqUE | Official Movie Minute : The Genesis Part 1/5            |       0
  70 | Qmd4sh3XUTJJb5PyPjCWLPj75UVBALB1Esp9gp2ZWZWhtB | Official Movie Minute : The Genesis Part 2/5            |       0
  71 | QmaPQrEPV1D91WfYYQR8SQqLYy2hpkeXDgAgikZwHtXhdN | Official Movie Minute : The Genesis Part 3/5            |       0
  72 | QmWiS8x4ZTMuPy4XNhixQ895JLPXukJ3pKySHzjJWUbpTg | Official Movie Minute : The Genesis Part 4/5            |       0
  73 | QmUTAy8ZCBweHhxLtp1Gyn79TU8PgKEjs1QTvdoumQgdTi | Official Movie Minute : The Genesis Part 5/5            |       0
  74 | QmeEHWrVH7kGt6Z9bioc87zdPqpTwrywHukv4ZqRNEG5Jj | Official Movie Minute : Inside « La Fonderie » Part 1/3 |       0
  75 | QmTv879QTSYKhJKrKmQPTGvd5UDs9ST4C5Xhcx4uokCrnX | Official Movie Minute : Inside « La Fonderie » Part 2/3 |       0
  76 | QmTgLpYaYnKf3DegndBq7mRzX2h3RxQqSqhEVeWr6ujzNr | Official Movie Minute : Inside « La Fonderie » Part 3/3 |       0
  77 | QmWVCNV4nTT1LsTEMej5zAewQ6RXCrguXz25a5TeJBqbum | Official Movie Minute : The artistic process Part 1/2   |       0
  78 | QmaSwxMCUFxov6MxjR3yHXyYjNqEUgtkbKfGg67CrK72X9 | Official Movie Minute : The artistic process Part 2/2   |       0
    79 | QmYBUJuaBckBdSvQ8aZw7o4Z7uN5mYzct7j9sfTRs8XSYf | Official Movie Minute : Fresco work Part 1/1            |       0
  80 | QmRBgLYzVQF2opscgAW7h8V5BqdMYNXNaLYQGkzNWbdibb | Official Movie Minute : The Sketches Part 1/2           |       0
  81 | QmVRx52QJFrhbckDfWf2tjKAcqTtCRyWtRBdJK2AKuMEAz | Official Movie Minute : The Sketches Part 2/2           |       0
  82 | QmNjprNkcrvaK2VeVxrGy1n65SoxoVgtN6g6KFJ7zLtvAg | Official Movie Minute : What seemed evident Part 1/1    |       0
  83 | Qmdkc3LWBxLUKE5Q3hFvc6iSge1SbaiYf3KeWwbxpny94Z | Official Movie Minute : Crypto finances art Part 1/1    |       0
  84 | QmTEMGGJRUDRWKErsMzdyT52PWKKZh2hEEZpmVhP2N6Yz1 | Official Movie Minute : The first brushstroke Part 1/1  |       0
  85 | QmUPMDk5yU9wg9nMQfXWQj3wvWzjwzYvTgmxVMojLvsQ58 | Official Movie Minute : Night work Part 1/1             |       2
  86 | QmZ5zsp64X63sZxzQLdeA6F4xoFx1ZquvQwJcHmnLumbfu | Official Movie Minute : The fight Part 1/1              |       2
